run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20240602-14:10:54-29470,runattr,,,configname,General,,
General-0-20240602-14:10:54-29470,runattr,,,datetime,20240602-14:10:54,,
General-0-20240602-14:10:54-29470,runattr,,,datetimef,20240602-141054,,
General-0-20240602-14:10:54-29470,runattr,,,experiment,General,,
General-0-20240602-14:10:54-29470,runattr,,,inifile,omnetpp.ini,,
General-0-20240602-14:10:54-29470,runattr,,,iterationvars,,,
General-0-20240602-14:10:54-29470,runattr,,,iterationvarsd,,,
General-0-20240602-14:10:54-29470,runattr,,,iterationvarsf,,,
General-0-20240602-14:10:54-29470,runattr,,,measurement,,,
General-0-20240602-14:10:54-29470,runattr,,,network,Network,,
General-0-20240602-14:10:54-29470,runattr,,,processid,29470,,
General-0-20240602-14:10:54-29470,runattr,,,repetition,0,,
General-0-20240602-14:10:54-29470,runattr,,,replication,#0,,
General-0-20240602-14:10:54-29470,runattr,,,resultdir,results,,
General-0-20240602-14:10:54-29470,runattr,,,runnumber,0,,
General-0-20240602-14:10:54-29470,runattr,,,seedset,0,,
General-0-20240602-14:10:54-29470,config,,,network,Network,,
General-0-20240602-14:10:54-29470,config,,,sim-time-limit,200s,,
General-0-20240602-14:10:54-29470,config,,,"Network.node[{0, 1, 2, 3, 4, 6, 7}].app.interArrivalTime","uniform(4, 4 + exponential(1))",,
General-0-20240602-14:10:54-29470,config,,,"Network.node[{0, 1, 2, 3, 4, 6, 7}].app.packetByteSize",125000,,
General-0-20240602-14:10:54-29470,config,,,"Network.node[{0, 1, 2, 3, 4, 6, 7}].app.destination",5,,
